id,zpid,state,county,address,city,zipcode,price,acres,price_per_acre,days_on_market,score,status,roi_pct,net_profit,red_flags
2835,450529340,TX,Anderson County,"3200 W County Road 102, New London, TX, 75682",New London,75682,135900.0,21.35,6365.34,310,5,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold, Long DOM"
2998,452692304,TX,Eastland County,"County Road 340, Ranger, TX, 76470",Ranger,76470,146190.0,13.29,11000.0,282,5,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold, Long DOM"
2918,459640233,TX,Wilson County,"6191 County Road 434 LOT 6, Stockdale, TX, 78160",Stockdale,78160,149000.0,10.0,14900.0,638,5,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold, Long DOM"
2944,2055526851,TX,Hunt County,"TRACT 32 Highway 1 #34, Greenville, TX, 75401",Greenville,75401,150000.0,10.1,14851.49,263,5,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold, Long DOM"
2959,250517038,TX,Leon County,"439 Walnut Ln, Buffalo, TX, 75831",Buffalo,75831,154500.0,11.86,13026.98,263,5,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold, Long DOM"
2953,449992380,TX,Parker County,"1031 Akin Rd, Poolville, TX, 76487",Poolville,76487,160000.0,5.0,32000.0,325,5,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold, Long DOM"
2816,344618554,TX,Medina County,"TBD FM 1343 LOT A1199, Castroville, TX, 78009",Castroville,78009,170000.0,5.083,33444.82,268,5,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold, Long DOM"
2848,344604147,TX,Bexar County,"4401 Hardy Rd LOT 55, Elmendorf, TX, 78112",Elmendorf,78112,170000.0,10.0,17000.0,896,5,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold, Long DOM"
2847,453009352,TX,Hunt County,"County Road 4410, Commerce, TX, 75428",Commerce,75428,172000.0,14.0,12285.71,272,5,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold, Long DOM"
2896,344605283,TX,Bexar County,"TRACT A S Loop 1604 E LOT 2016, San Antonio, TX, 78264",San Antonio,78264,175000.0,8.4,20833.33,332,5,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold, Long DOM"
2939,447602692,TX,McLennan County,"8070 N Lone Star Pkwy, Mc Gregor, TX, 76657",Mc Gregor,76657,175000.0,10.01,17482.52,353,5,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold, Long DOM"
2955,250504801,TX,Panola County,"610 E Whitney St, Tatum, TX, 75691",Tatum,75691,176000.0,44.99,3911.98,189,5,reject,-55.57,-97800.4,"Projected profit is estimated, ROI below threshold, Long DOM"
2890,450737368,TX,Hill County,"State Highway 174, Blum, TX, 76627",Blum,76627,179000.0,10.62,16854.99,322,5,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold, Long DOM"
2827,456028731,TX,Rains County,"383 Rscr #1605, Pt, TX, 75472",Pt,75472,187000.0,5.41,34565.62,202,5,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold, Long DOM"
2907,455610866,TX,Grayson County,"0 Fm 902 St, Howe, TX, 75459",Howe,75459,195000.0,6.772,28795.04,217,5,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold, Long DOM"
2889,2093023290,TX,Colorado County,"1168 Pargac Ln, Columbus, TX, 78934",Columbus,78934,210000.0,12.8,16406.25,200,5,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold, Long DOM"
2980,449962785,TX,Liberty County,"County Road 2318, Dayton, TX, 77535",Dayton,77535,210000.0,15.593,13467.58,263,5,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold, Long DOM"
2992,353280974,TX,Johnson County,"2591 Hopewell Rd, Cleburne, TX, 76031",Cleburne,76031,219000.0,5.0,43800.0,620,5,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold, Long DOM"
2951,448941392,TX,Hunt County,"3605 County Road 1108, Celeste, TX, 75423",Celeste,75423,220000.0,5.0,44000.0,343,5,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold, Long DOM"
2973,2067474576,TX,Henderson County,"1467 Lawrence St, Trinidad, TX, 75163",Trinidad,75163,225000.0,5.0,45000.0,283,5,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold, Long DOM"
2986,299295105,TX,Gonzales County,"502 Robertson Rd, Smiley, TX, 78159",Smiley,78159,245000.0,23.82,10285.47,298,5,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold, Long DOM"
2978,454972797,TX,Comal County,"446 Waring Welfare LOT 9, Boerne, TX, 78006",Boerne,78006,255000.0,6.63,38461.54,237,5,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold, Long DOM"
2981,2053149392,TX,Burleson County,"9999 Fm 60 E, Somerville, TX, 77879",Somerville,77879,265000.0,28.835,9190.22,243,5,reject,-30.78,-81578.5,"Projected profit is estimated, ROI below threshold, Long DOM"
2897,2054556178,TX,Bell County,"12283 Crows Ranch Rd, Salado, TX, 76571",Salado,76571,275000.0,13.355,20591.54,857,5,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold, Long DOM"
2869,84388086,TX,Bastrop County,"492 S Old Potato Rd, Paige, TX, 78659",Paige,78659,290000.0,10.989,26390.03,277,5,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold, Long DOM"
2979,440358124,TX,Gonzales County,"E Us Highway 90, Waelder, TX, 78959",Waelder,78959,299900.0,30.012,9992.67,263,5,reject,-22.12,-66331.9,"Projected profit is estimated, ROI below threshold, Long DOM"
3010,442727532,TX,Fannin County,"0 County Road 4510, Trenton, TX, 75490",Trenton,75490,299900.0,26.0,11534.62,472,5,reject,-25.52,-76530.5,"Projected profit is estimated, ROI below threshold, Long DOM"
3008,28595967,TX,Hays County,"1100 Alpine Trl, San Marcos, TX, 78666",San Marcos,78666,315000.0,8.67,36332.18,233,5,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold, Long DOM"
2886,27526836,TX,Fort Bend County,"11810 Reinecker Rd, Wallis, TX, 77485",Wallis,77485,399000.0,13.0,30692.31,214,5,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold, Long DOM"
2994,454074703,TX,Navarro County,"3324 NW County Road 3206, Dawson, TX, 76639",Dawson,76639,429000.0,42.82,10018.68,252,5,reject,-16.22,-69601.2,"Projected profit is estimated, ROI below threshold, Long DOM"
2988,458479219,TX,Harrison County,"0 Cooper Rd, Marshall, TX, 75672",Marshall,75672,98000.0,28.02,3497.5,105,0,reject,-68.86,-67482.5,"Projected profit is estimated, ROI below threshold, Possible flood/wetland mention"
